age,monthly_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,loan_paid_back,gender_encoded,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Widowed,education_level_encoded,employment_status_encoded,subgrade,grade_encoded,loan_purpose_Business,loan_purpose_Car,loan_purpose_Debt consolidation,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Other,loan_purpose_Vacation
59,2020.02,0.074,743,17173.72,13.39,36,581.88,7,40833.47,24302.07,1,0,1,1,False,True,False,False,3.0,0,5,2,False,True,False,False,False,False,False,False
72,1681.08,0.219,531,22663.89,17.81,60,573.17,5,27968.01,10803.01,1,0,1,0,False,True,False,False,2.0,0,1,6,False,False,True,False,False,False,False,False
49,2181.82,0.234,779,3631.36,9.53,60,76.32,2,15502.25,4505.44,0,0,1,0,False,False,True,False,1.0,0,4,2,True,False,False,False,False,False,False,False
35,989.49,0.264,809,14939.23,7.99,36,468.07,7,18157.79,5525.63,4,0,1,0,False,False,True,False,1.0,0,5,1,False,False,False,False,False,False,True,False
63,2110.54,0.26,663,16551.71,15.2,60,395.5,1,17467.56,3593.91,2,0,1,2,False,False,True,False,0.0,0,5,4,False,True,False,False,False,False,False,False
28,4629.98,0.081,774,12724.02,12.73,60,287.75,3,76147.61,14885.25,0,0,1,1,False,False,True,False,1.0,0,1,2,False,False,True,False,False,False,False,False
41,2053.57,0.165,742,5905.27,12.48,36,197.5,6,18380.15,12683.33,3,0,0,1,False,False,True,False,2.0,4,3,2,False,True,False,False,False,False,False,False
59,4384.22,0.135,810,15136.35,8.45,36,477.47,4,75260.33,13768.13,0,0,1,0,False,False,True,False,2.0,0,3,1,False,False,True,False,False,False,False,False
39,5243.5,0.074,724,500.0,9.95,36,16.12,6,42759.4,15596.93,3,0,1,2,False,False,True,False,1.0,0,4,3,False,False,False,False,True,False,False,False
43,4453.32,0.375,796,14712.38,11.81,36,487.33,4,40629.06,15965.92,2,0,0,0,False,False,True,False,1.0,0,1,2,False,True,False,False,False,False,False,False
31,3088.96,0.166,722,24847.59,15.16,36,863.3,3,31600.7,16748.87,1,0,1,0,False,True,False,False,1.0,2,3,3,False,True,False,False,False,False,False,False
31,6125.08,0.17,687,500.0,12.82,36,16.8,6,77679.01,53010.23,1,0,1,0,False,True,False,False,2.0,0,2,3,True,False,False,False,False,False,False,False
44,5940.41,0.313,738,16352.99,10.22,36,529.36,2,57020.85,36722.12,0,0,1,1,False,False,True,False,3.0,0,4,3,False,False,True,False,False,False,False,False
73,1980.26,0.272,637,18191.26,14.32,36,624.57,5,28673.92,4814.55,4,0,1,0,False,True,False,False,2.0,0,4,4,False,False,False,False,True,False,False,False
56,1799.83,0.153,764,14908.25,8.5,36,470.62,8,30287.45,4164.77,0,0,1,0,True,False,False,False,2.0,0,1,2,False,False,False,False,False,True,False,False
60,2323.09,0.269,618,15819.7,12.33,36,527.94,4,36113.16,32635.74,6,0,0,0,False,True,False,False,2.0,3,3,4,True,False,False,False,False,False,False,False
44,2511.5,0.059,720,10886.6,14.09,36,372.55,1,39076.27,4781.56,1,0,1,1,False,False,False,True,3.0,0,1,3,False,False,False,False,True,False,False,False
23,6113.05,0.092,589,28579.38,15.89,60,693.33,5,102355.5,38663.29,4,0,1,1,False,False,True,False,2.0,0,3,5,False,False,True,False,False,False,False,False
42,4886.1,0.21,578,16116.67,17.24,60,402.62,4,86242.85,65905.57,5,0,1,1,False,True,False,False,1.0,0,4,6,False,False,False,False,False,True,False,False
73,3281.93,0.229,732,19078.95,12.79,60,432.06,3,30102.24,13122.81,2,0,1,1,False,True,False,False,2.0,0,5,3,False,False,True,False,False,False,False,False
22,3353.77,0.113,564,9831.78,15.51,36,343.28,2,56819.25,41201.7,1,0,0,0,False,False,True,False,3.0,0,4,6,False,False,True,False,False,False,False,False
44,1572.93,0.158,694,9607.62,12.14,36,319.75,5,25809.11,21463.92,4,0,1,1,False,False,False,True,3.0,0,5,3,False,True,False,False,False,False,False,False
64,5853.84,0.1,440,8853.43,14.32,36,303.97,4,79490.56,59161.78,4,0,1,1,True,False,False,False,2.0,0,3,6,False,False,True,False,False,False,False,False
50,3368.51,0.067,753,19415.58,11.79,36,642.93,6,65806.15,48129.85,2,1,1,1,False,False,True,False,1.0,0,5,2,False,False,True,False,False,False,False,False
58,1613.67,0.14,619,18128.74,13.84,36,618.19,8,25883.17,15321.34,4,0,1,0,True,False,False,False,0.0,2,3,4,False,False,False,True,False,False,False,False
22,1101.71,0.122,709,9692.3,13.68,36,329.76,6,23805.97,19098.49,2,0,1,0,False,False,True,False,1.0,2,2,3,False,False,True,False,False,False,False,False
41,1411.39,0.425,705,18627.46,13.52,36,632.31,3,25978.62,15219.35,1,0,1,1,False,True,False,False,1.0,0,5,3,False,False,False,False,False,False,True,False
53,3163.11,0.135,739,9656.48,8.71,36,305.77,4,46657.36,37539.24,2,0,1,1,False,False,True,False,2.0,0,1,3,False,True,False,False,False,False,False,False
32,657.01,0.222,692,5772.28,12.26,36,192.44,9,18319.12,16782.77,0,0,1,1,False,False,True,False,1.0,0,1,3,True,False,False,False,False,False,False,False
42,1501.2,0.212,702,11345.92,13.82,60,262.94,5,30467.37,27089.2,0,0,1,0,False,True,False,False,2.0,0,3,3,False,False,False,False,True,False,False,False
64,4037.81,0.195,610,5285.92,10.52,60,113.67,1,32166.14,21365.3,5,0,1,1,False,False,True,False,2.0,0,3,4,True,False,False,False,False,False,False,False
45,2328.7,0.132,553,6268.32,15.01,36,217.32,3,40793.67,23122.33,2,0,0,0,False,False,True,False,0.0,2,5,6,False,False,True,False,False,False,False,False
69,1043.07,0.562,818,10469.04,10.09,36,338.25,6,20412.01,17283.32,3,0,1,1,False,False,True,False,2.0,0,2,1,False,False,True,False,False,False,False,False
47,2072.06,0.111,629,6321.47,9.89,36,203.65,5,23358.63,18679.74,4,0,1,1,False,False,True,False,2.0,0,2,4,False,False,True,False,False,False,False,False
62,2854.07,0.09,685,10673.12,11.68,36,352.87,7,45509.72,21928.41,0,1,0,0,False,True,False,False,0.0,0,1,3,False,False,True,False,False,False,False,False
48,5317.14,0.199,657,22298.23,14.12,36,763.4,7,61717.59,54000.53,4,0,1,1,False,False,True,False,2.0,0,2,4,False,False,False,False,False,False,True,False
36,3974.96,0.218,806,23171.53,7.34,36,719.08,5,75385.65,47058.83,3,0,0,0,False,True,False,False,0.0,4,4,1,False,False,True,False,False,False,False,False
35,3890.38,0.101,717,13275.22,13.28,36,449.09,6,36244.87,9210.08,0,0,1,1,False,False,True,False,2.0,0,3,3,False,False,True,False,False,False,False,False
